Brand,Model,Year,Category,Rating,Displacement (ccm),Power (hp),Torque (Nm),Engine cylinder,Engine stroke,Gearbox,Bore (mm),Stroke (mm),Fuel capacity (lts),Fuel system,Fuel control,Cooling system,Transmission type,Dry weight (kg),Wheelbase (mm),Seat height (mm),Front brakes,Rear brakes,Front tire,Rear tire,Front suspension,Rear suspension,Color options
access,ams 6.46 lux,2016,ATV,,608.0,45.6,,Single cylinder, four-stroke,Automatic,,,21.0,Injection. EFI,Overhead Cams (OHC),Air,Chain,346.0,,,Single disc,Single disc,25/8-14 ,25/10-14 ,,,"Black, white, red"
access,ams 6.46 lux long,2016,ATV,,608.0,45.6,,Single cylinder, four-stroke,Automatic,,,21.0,,Overhead Cams (OHC),Air,Chain,346.0,,,Single disc,Single disc,25/8-14 ,25/10-14 ,,,"Black, white, red"
access,ams 8.57 lux lv,2016,ATV,3.9,781.0,56.3,,Single cylinder, four-stroke,Automatic,,,21.0,Injection. EFI,Overhead Cams (OHC),Air,Chain,362.0,,,Single disc,Single disc,25/8-14 ,25/10-14 ,,,"Black, white, red"
access,amx 8.57 efi,2018,ATV,,781.0,57.7,,Single cylinder, four-stroke,Automatic,,,21.0,Injection,Overhead Cams (OHC),Liquid,Chain,344.0,,,Single disc,Single disc,25/8-12 ,25/10-12 ,Independent,Independent,"White, black, red"
access,minisport 110,2021,ATV,,107.0,6.8,,Single cylinder, four-stroke,Automatic,,,,,,Air,Chain,95.0,,610.0,Single disc,Single disc,,,,,Red/white
access,shade 200,2021,ATV,,176.0,13.1,,Single cylinder, four-stroke,Automatic,,,,,Overhead Cams (OHC),Air,Chain,201.0,,,Single disc,Single disc,22/7-10 ,22/10-10 ,"Telescopic fork, adjustable","Swing Arm, adjustable",White/Yellow/Black
access,shade 420,2018,ATV,,359.3,26.8,,Single cylinder, four-stroke,Automatic,,,16.6,,Overhead Cams (OHC),Liquid,Chain,321.0,,,Single disc,Single disc,25/8-12 ,25/10-12 ,,,"White, black"
access,shade sport 650,2018,ATV,,608.0,45.6,,Single cylinder, four-stroke,Automatic,,,21.0,,Overhead Cams (OHC),Liquid,Chain,334.0,,,Single disc,Single disc,26/8-14 ,26/10-14 ,,,"White, black"
access,shade sport 650 eps,2020,ATV,,608.0,45.6,,Single cylinder, four-stroke,Automatic,,,21.0,,Overhead Cams (OHC),Liquid,Chain,342.0,,,Single disc,Single disc,26/8-14 ,26/10-14 ,,,Black/Yellow
access,shade sport 850,2018,ATV,,781.0,57.7,,Single cylinder, four-stroke,Automatic,,,21.0,,Overhead Cams (OHC),Liquid,Chain,334.0,,,Single disc,Single disc,26/8-14 ,26/10-14 ,Independent,Independent,"White, black"
access,shade sport 850 lv,2020,ATV,,781.0,57.7,,Single cylinder, four-stroke,Automatic,,,21.0,,Overhead Cams (OHC),Liquid,Chain,342.0,,,Single disc,Single disc,25/8-12 ,25/10-12 ,Independent,Independent,Black/Orange
access,shade sport 850 touring,2020,ATV,,781.0,57.7,,Single cylinder, four-stroke,Automatic,,,21.0,,Overhead Cams (OHC),Liquid,Chain,358.0,,,Single disc,Single disc,26/8-14 ,26/10-14 ,Independent,Independent,"White, black"
access,shade xtreme 650,2022,ATV,,608.0,45.6,,Single cylinder, four-stroke,Automatic,,,21.0,,Overhead Cams (OHC),Liquid,Chain,330.0,,,Single disc,Single disc,25/8-12 ,25/10-12 ,"Independent, 5-step adjustable","Independent, 5-step adjustable","Blue/black, green/black"
access,shade xtreme 650 ng,2020,ATV,,608.0,45.6,,Single cylinder, four-stroke,Automatic,,,21.0,,Overhead Cams (OHC),Liquid,Chain,330.0,,,Single disc,Single disc,25/8-12 ,25/10-12 ,Independent,Independent,Orange/Black
access,shade xtreme 850,2018,ATV,2.8,781.0,57.7,,Single cylinder, four-stroke,Automatic,,,21.0,,Overhead Cams (OHC),Liquid,Chain,329.0,,,Single disc,Single disc,25/8-12 ,25/10-12 ,Independent,Independent,"White, black"
access,shade xtreme 850 dlx eps,2020,ATV,,781.0,57.7,,Single cylinder, four-stroke,Automatic,,,21.0,,Overhead Cams (OHC),Liquid,Chain,329.0,,,Single disc,Single disc,25/8-12 ,25/10-12 ,Independent,Independent,Black/Orange
access,xtreme enduro 300,2021,ATV,,280.0,18.8,,Single cylinder, four-stroke,Automatic,,,,,Overhead Cams (OHC),Liquid,Chain,225.0,,,Expanding brake (drum brake),Expanding brake (drum brake),21/17-10 ,20/11-9 ,,Swing Arm,Orange/Black
access,xtreme s 480,2021,ATV,,449.0,,,Single cylinder, four-stroke,Automatic,,,14.0,,Overhead Cams (OHC),Liquid,Chain,236.0,,,Expanding brake (drum brake),Expanding brake (drum brake),16/70-10 ,22/40-10 ,,Swing Arm,"Black Ocean, Green Nitro"
access,xtreme supermoto 300,2021,ATV,,280.0,18.8,,Single cylinder, four-stroke,Automatic,,,,,Overhead Cams (OHC),Liquid,Chain,225.0,,,Expanding brake (drum brake),Expanding brake (drum brake),21/17-10 ,20/11-9 ,,Swing Arm,Black
ace,exp-4,1923,Sport,,1299.0,,,In-line four, four-stroke,,,,,Carburettor,,,Chain,,,,,,,,,,
ace,standard,1924,Allround,,1234.0,,,Twin, four-stroke,,69.9,82.6,,Carburettor,,,Chain,165.0,,,,,3.5-27 ,3.5-27 ,,,
ace,standard,1925,Allround,,1234.0,,,Twin, four-stroke,,69.9,82.6,,Carburettor,,,Chain,165.0,,,,,3.5-27 ,3.5-27 ,,,
ace,standard,1926,Allround,,1234.0,,,Twin, four-stroke,,69.9,82.6,,Carburettor,,,Chain,165.0,,,,,3.5-27 ,3.5-27 ,,,
ace,standard model,1927,Allround,,1234.0,,,Twin, four-stroke,,69.9,82.6,,Carburettor,,,Chain,165.0,,,,,3.85-27 ,3.85-27 ,,,
adiva,ad 125,2009,Scooter,2.8,124.0,14.8,12.0,Single cylinder, four-stroke,Automatic,57.0,48.6,13.5,,Single Overhead Cams (SOHC),Liquid,Belt,175.0,1759.0,,Single disc,Single disc,120/70-14 ,140/70-14 ,Telescopic fork,Twin shock,"Silver, black"
adiva,ad 125,2011,Scooter,2.9,124.0,13.0,10.9,Single cylinder, four-stroke,Automatic,48.8,57.0,13.5,Carburettor,Single Overhead Cams (SOHC),Liquid,Belt,171.0,1640.0,,Single disc,Single disc,120/70-14 ,140/70-14 ,Telescopic fork,Twin shock,
adiva,ad 125le,2010,Scooter,1.9,124.0,13.0,10.9,Single cylinder, four-stroke,Automatic,48.8,57.0,13.5,Carburettor,Single Overhead Cams (SOHC),Liquid,Belt,171.0,1640.0,,Single disc,Single disc,120/70-14 ,140/70-14 ,Telescopic fork,Twin shock,"Silver, black"
adiva,ad 200,2011,Scooter,3.4,171.2,15.8,15.3,Single cylinder, four-stroke,Automatic,61.0,58.0,12.0,Injection,Single Overhead Cams (SOHC),Liquid,Belt,172.0,1560.0,,Single disc,Single disc,120/70-14 ,140/70-14 ,,,
adiva,ad 250,2009,Scooter,2.9,244.0,21.5,20.2,Single cylinder, four-stroke,,72.0,60.0,13.5,Injection,Single Overhead Cams (SOHC),Liquid,,175.0,1759.0,,Double disc,Single disc,120/70-14 ,140/70-14 ,,,
adiva,ad tre,2014,Scooter,,205.3,20.6,18.9,Single cylinder, four-stroke,Automatic,,,13.0,Carburettor,Single Overhead Cams (SOHC),Air,Belt,118.0,,740.0,Expanding brake (drum brake),Expanding brake (drum brake),130/70-13 ,150/70-13 ,,,Silver
adiva,ad tre 55,2014,Scooter,,205.3,20.6,18.9,Single cylinder, four-stroke,Automatic,,,13.0,Carburettor,Single Overhead Cams (SOHC),Air,Belt,215.0,,740.0,Single disc,Single disc,130/70-13 ,150/70-13 ,,,Black with red seats
adiva,ad125,2008,Scooter,2.2,124.0,14.8,12.0,Single cylinder, four-stroke,,57.0,48.6,,,,,,175.0,1759.0,,,,120/70-14 ,140/70-14 ,,,
adiva,ad250,2008,Scooter,3.4,244.0,21.5,20.2,Single cylinder, four-stroke,,72.0,60.0,,,Single Overhead Cams (SOHC),,,175.0,1759.0,,,,120/70-14 ,140/70-14 ,,,
adiva,ad3 300,2018,Scooter,,299.0,,30.1,Single cylinder, four-stroke,Automatic,72.7,72.0,11.0,Injection,Single Overhead Cams (SOHC),Liquid,,202.0,1560.0,700.0,Single disc,Single disc,130/60-13 ,150/70-13 ,Single two-ways shock absorber,"Engine behaving structural, double rear two-ways shock absorbers preload adjustable on 5 positions",
adiva,ad3 300,2019,Scooter,,299.0,29.4,31.0,Single cylinder, four-stroke,Automatic,72.7,72.0,11.0,Injection,Single Overhead Cams (SOHC),Liquid,,202.0,1560.0,700.0,Single disc,Single disc,130/60-13 ,150/70-13 ,Single two-ways shock absorber,"Engine behaving structural, double rear two-ways shock absorbers preload adjustable on 5 positions","Grahite, Silver, Black"
adiva,ad3 300lt,2020,Scooter,,299.0,29.4,30.1,Single cylinder, four-stroke,Automatic,72.7,72.0,12.2,Injection,Single Overhead Cams (SOHC),Liquid,,202.0,1560.0,700.0,Single disc,Single disc,130/60-13 ,150/70-13 ,Single two-ways shock absorber,"Engine behaving structural, double rear two-ways shock absorbers preload adjustable on 5 positions","Grahite, Silver, Black"
adiva,ad3 400,2018,Scooter,3.3,399.0,36.7,38.1,Single cylinder, four-stroke,Automatic,84.0,72.0,11.0,Injection,Single Overhead Cams (SOHC),Liquid,,257.0,1560.0,770.0,Single disc,Single disc,,,Wishbone,Double Swing,
adiva,ad3 400,2019,Scooter,,399.0,36.7,38.1,Single cylinder, four-stroke,Automatic,84.0,72.0,11.0,Injection,Single Overhead Cams (SOHC),Liquid,,257.0,1560.0,770.0,Single disc,Single disc,,,Wishbone,Double Swing,"Red, Blue, White, Graphite, Black"
adiva,ar 125,2011,Scooter,,124.0,13.0,10.9,Single cylinder, four-stroke,Automatic,48.8,57.0,12.0,Carburettor,Single Overhead Cams (SOHC),Liquid,Belt,171.0,1560.0,,Single disc,Single disc,120/70-14 ,140/70-14 ,Telescopic fork,Twin shock,"Graphite, Silver, Black"
adiva,ar 200,2011,Scooter,3.0,171.2,15.8,15.3,Single cylinder, four-stroke,Automatic,61.0,58.0,12.0,Injection,Single Overhead Cams (SOHC),Liquid,Belt,172.0,1560.0,,Single disc,Single disc,120/70-14 ,140/70-14 ,Telescopic hydraulic front forks ø 41 mm,"Engine behaving structural, double rear two-ways shock absorbers preload adjustable on 5 positions","Graphite, Silver, Black"
adiva,ar3 200,2018,Scooter,,190.0,18.8,17.0,Single cylinder, four-stroke,Automatic,64.0,58.8,14.0,Injection,Overhead Cams (OHC),Liquid,,231.0,1751.0,700.0,Single disc,Single disc,120/70-14 ,120/70-12 ,Telescopic hydraulic front forks 41mm,Double Swing,"White, Graphite, Wine Red"
adiva,birdie,2012,Scooter,2.2,124.6,9.4,9.0,Single cylinder, four-stroke,,,,5.0,Carburettor,,Air,,118.0,1400.0,,Expanding brake (drum brake),Expanding brake (drum brake),3.50-10 ,3.50-10 ,,,Red/white
adiva,cargo 3,2013,Scooter,,,1.3,180.0,Electric,Electric,1-speed,,,,,,Air,,,,720.0,Single disc,Expanding brake (drum brake),120/70-10 ,130/70-10 ,,,White
adiva,cargo 3,2014,Scooter,,,1.3,180.0,Electric,Electric,1-speed,,,,,,Air,,60.0,,720.0,Single disc,Expanding brake (drum brake),120/70-10 ,130/70-10 ,,,White
adiva,cargo2,2011,Scooter,,,,,Electric,Electric,1-speed,,,,,,,,60.0,1300.0,700.0,Single disc,Expanding brake (drum brake),120/70-10 ,130/70-12 ,,,"White, red, yellow"
adiva,e-moving,2013,Scooter,,,0.8,,Electric,Electric,1-speed,,,,,,Air,,63.0,,,Expanding brake (drum brake),Expanding brake (drum brake),80/100-10 ,80/100-10 ,,,"Blue, pink, black, silver, beige"
adiva,e-moving,2014,Scooter,,,0.8,,Electric,Electric,1-speed,,,,,,Air,,63.0,,,Expanding brake (drum brake),Expanding brake (drum brake),80/100-10 ,80/100-10 ,,,"Blue, pink, black, silver, beige"
adiva,n125,2010,Scooter,,124.0,10.3,9.8,Single cylinder, four-stroke,,52.4,57.8,6.0,Carburettor,Single Overhead Cams (SOHC),,,108.0,1320.0,800.0,Single disc,Expanding brake (drum brake),120/70-12 ,130/70-12 ,,,
adiva,n125,2011,Scooter,3.2,124.0,10.3,9.8,Single cylinder, four-stroke,Automatic,52.4,57.8,6.0,Carburettor,Single Overhead Cams (SOHC),Air,,108.0,1320.0,800.0,Single disc,Expanding brake (drum brake),120/70-12 ,130/70-12 ,,,"Black, white, grey, red, blue, yellow"
adiva,r125,2010,Scooter,2.7,124.0,10.3,9.8,Single cylinder, four-stroke,,,,6.0,Carburettor,Single Overhead Cams (SOHC),,,109.0,1320.0,800.0,Single disc,Single disc,120/70-12 ,120/70-12 ,,,
adiva,r125,2011,Scooter,3.1,124.0,10.3,9.8,Single cylinder, four-stroke,Automatic,,,6.0,Carburettor,Single Overhead Cams (SOHC),Air,Belt,109.0,1320.0,800.0,Single disc,Single disc,120/70-12 ,120/70-12 ,,,"White, black, grey, yellow, red/black"
adiva,vx-1,2021,Scooter,,,14.8,65.0,Electric,Electric,Automatic,,,,,,Air,,,1524.0,775.0,Single disc,Single disc,140/60-13 ,120/70-14 ,Marzocchi telescopic fork,Sachs dual shocks,"Red, black, white"
adler,isdt,1957,Sport,,247.0,18.0,,Twin, two-stroke,,54.0,54.0,12.0,Carburettor. Bing,,Air,Chain,,,,,,3.25-16 ,3.25-16 ,Twin swining link,Shock absorbers-plunger,
adler,isdt,1958,Sport,,247.0,18.0,,Twin, two-stroke,,54.0,54.0,12.0,Carburettor,,Air,Chain,,,,,,3.25-16 ,3.25-16 ,Twin swining link,Shock absorbers-plunger,
adler,junior 100 luxus,1955,Scooter,,100.0,,,Single cylinder, two-stroke,,,,,Carburettor,,Air,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,
adler,junior 100 luxus,1956,Scooter,,100.0,,,Single cylinder, two-stroke,,,,,Carburettor,,Air,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,
adler,junior 100 luxus,1957,Scooter,,100.0,,,Single cylinder, two-stroke,,,,,Carburettor,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,
adler,m 100,1955,Sport,,100.0,,,Single cylinder, two-stroke,3-speed,50.0,50.0,,Carburettor,,Air,Chain,70.0,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,
adler,m 100,1956,Sport,,100.0,,,Single cylinder, two-stroke,3-speed,50.0,50.0,7.0,Carburettor,,Air,Chain,70.0,,,Expanding brake (drum brake),Expanding brake (drum brake),3.25-18 ,3.25-18 ,,,
adler,m 100,1957,Sport,,100.0,,,Single cylinder, two-stroke,3-speed,50.0,50.0,7.0,Carburettor,,Air,Chain,70.0,,,Expanding brake (drum brake),Expanding brake (drum brake),3.25-18 ,3.25-18 ,,,
adler,m 100,1958,Sport,,100.0,,,Single cylinder, two-stroke,3-speed,50.0,50.0,7.0,Carburettor,,Air,Chain,70.0,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,
adler,m 200,1952,Naked bike,,200.0,11.0,,Twin, two-stroke,4-speed,48.0,54.0,,Carburettor,,Air,Chain,130.0,,,Expanding brake (drum brake),Expanding brake (drum brake),3.25-16 ,3.25-16 ,Plunger shocks,Dual chocks,
adler,m 200,1953,Naked bike,,200.0,11.0,,Twin, two-stroke,4-speed,48.0,54.0,,Carburettor,,Air,Chain,130.0,,,Expanding brake (drum brake),Expanding brake (drum brake),3.25-16 ,3.25-16 ,Plunger shocks,Dual chocks,
adler,m 200,1954,Naked bike,,200.0,11.0,,Twin, two-stroke,4-speed,48.0,54.0,,Carburettor,,Air,Chain,130.0,,,Expanding brake (drum brake),Expanding brake (drum brake),,,Plunger shocks,Dual chocks,
adler,m 250,1952,Custom / cruiser,,250.0,16.0,,Twin, two-stroke,4-speed,54.0,54.0,12.0,Carburettor,,Air,Chain,135.0,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,
adler,m 250,1953,Custom / cruiser,,250.0,16.0,,Twin, two-stroke,4-speed,54.0,54.0,12.0,Carburettor,,Air,,135.0,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,
adler,m 250,1954,Custom / cruiser,,250.0,16.0,,Twin, two-stroke,4-speed,54.0,54.0,12.0,Carburettor,,Air,,135.0,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,
adler,m 250 s,1952,Allround,,247.0,16.0,,Twin, two-stroke,4-speed,54.0,54.0,12.0,Carburettor,,Air,Chain,135.0,,,Expanding brake (drum brake),Expanding brake (drum brake),3.25-16 ,3.25-16 ,,Two schock,
adler,m 250 s,1953,Allround,,247.0,16.0,,Twin, two-stroke,4-speed,54.0,54.0,,Carburettor,,Air,Chain,135.0,,,Expanding brake (drum brake),Expanding brake (drum brake),3.25-16 ,3.25-16 ,,Two schock,
adler,m 250 s,1954,Allround,,247.0,16.0,,Twin, two-stroke,4-speed,54.0,54.0,,Carburettor,,Air,Chain,135.0,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,Two schock,
adler,m 250 s,1955,Allround,,247.0,16.0,,Twin, two-stroke,4-speed,54.0,54.0,,Carburettor,,Air,Chain,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,Two schock,
adler,m 250 s,1956,Allround,,247.0,,,Twin, two-stroke,4-speed,54.0,54.0,,Carburettor,,Air,Chain,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,Two schock,
adler,mb 250 rs,1954,Cross / motocross,,247.0,,,Twin, two-stroke,,54.0,54.0,12.0,Carburettor,,Air,Chain,,1257.0,,Expanding brake (drum brake),Expanding brake (drum brake),3.25-16 ,3.25-16 ,,,
adler,mb 250 rs,1955,Cross / motocross,,247.0,,,Twin, two-stroke,,54.0,54.0,12.0,Carburettor,,Air,Chain,,1257.0,,Expanding brake (drum brake),Expanding brake (drum brake),3.25-16 ,3.25-16 ,,,
adler,mb 250 rs,1956,Cross / motocross,,247.0,,,Twin, two-stroke,,54.0,54.0,12.0,Carburettor,,Air,Chain,,1257.0,,Expanding brake (drum brake),Expanding brake (drum brake),3.25-16 ,3.25-16 ,,,
adler,mbs 250 favorit,1957,Allround,,250.0,16.0,,Twin, two-stroke,4-speed,54.0,54.0,15.0,Carburettor,,Air,Chain,165.0,,,Expanding brake (drum brake),Expanding brake (drum brake),3.25-16 ,3.50-16 ,,Two schock,
adler,mbs 250 favorit,1958,Allround,,250.0,16.0,,Twin, two-stroke,4-speed,54.0,54.0,15.0,Carburettor,,Air,Chain,165.0,,,Expanding brake (drum brake),Expanding brake (drum brake),3.25-16 ,3.50-16 ,,Two schock,
adler,mbs 250 favorit,1959,Allround,,250.0,16.0,,Twin, two-stroke,4-speed,54.0,54.0,15.0,Carburettor,,Air,Chain,165.0,,,Expanding brake (drum brake),Expanding brake (drum brake),3.25-16 ,3.50-16 ,,Two schock,
adler,mbs 250 favorit,1960,Allround,,250.0,16.0,,Twin, two-stroke,4-speed,54.0,54.0,15.0,Carburettor,,Air,Chain,165.0,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,Two schock,
adly,bullet 125,2007,Cross / motocross,,122.7,,,Single cylinder, four-stroke,4-speed,,,3.75,,,Air,Chain,,1047.0,800.0,Single disc. hydraulic wave disk (front/rear),Single disc. hydraulic wave disk (front/rear),2.75-14 ,3.50-14 ,,,"Stars  and  Stripes, Union Jack"
adly,bullet 125 supermotard,2007,Super motard,,122.7,,,Single cylinder, four-stroke,4-speed,,,3.75,,,Air,Chain,,1047.0,800.0,Single disc. hydraulic wave disk (front/rear),Single disc. hydraulic wave disk (front/rear),120/70-12 ,130/70-12 ,,,"Stars  and  Stripes, Union Jack"
adly,cat 100,2007,Scooter,2.5,95.6,8.6,,Single cylinder, two-stroke,Automatic,52.0,45.0,,,,Air,,75.0,1210.0,,,,130/60-13 ,130/60-13 ,Hydraulic shock absorber,Hydraulic shock absorber,
adly,cat 100,2008,Scooter,2.5,95.6,8.6,,Single cylinder, two-stroke,Automatic,52.0,45.0,,,,Air,,75.0,1210.0,,Double disc,Expanding brake (drum brake),130/60-13 ,130/60-13 ,Hydraulic Shock Absorber,Hydraulic Shock Absorber,
adly,cat 125 b,2008,Scooter,2.7,124.0,,,Single cylinder, four-stroke,Automatic,52.4,57.8,,,,Air,,92.0,1240.0,,Single disc,Expanding brake (drum brake),120/70-12 ,120/70-12 ,Hydraulic Shock Absorber,Hydraulic Shock Absorber,
adly,cat 125 d,2008,Scooter,,124.0,,,Single cylinder, four-stroke,Automatic,52.4,57.8,,,,Air,,92.0,1240.0,,Single disc,Expanding brake (drum brake),120/70-12 ,120/70-12 ,Hydraulic Shock Absorber,Hydraulic Shock Absorber,
adly,cat 125 s,2008,Scooter,,124.0,,,Single cylinder, four-stroke,Automatic,52.4,57.8,,,,Air,,85.0,1230.0,,Single disc,Expanding brake (drum brake),3.5-10 ,3.5-10 ,Hydraulic Shock Absorber,Hydraulic Shock Absorber,
adly,cat 125b,2007,Scooter,,124.0,8.4,,Single cylinder, four-stroke,Automatic,52.4,57.8,,,,Air,,92.0,1240.0,,Single disc,Expanding brake (drum brake),120/70-12 ,120/70-12 ,Hydraulic shock absorber,Hydraulic shock absorber,
adly,cat 125d,2007,Scooter,,124.0,8.4,,Single cylinder, four-stroke,Automatic,52.4,57.8,,,,Air,,92.0,1240.0,,Single disc,Expanding brake (drum brake),120/70-12 ,120/70-12 ,Hydraulic shock absorber,Hydraulic shock absorber,
adly,cat 125s,2007,Scooter,,124.0,8.6,,Single cylinder, four-stroke,Automatic,52.4,57.8,,,,Air,,85.0,1230.0,,Single disc,Expanding brake (drum brake),3.5-10 ,3.5-10 ,Hydraulic shock absorber,Hydraulic shock absorber,
adly,cat 125s,2009,Scooter,,124.0,,,Single cylinder, four-stroke,Automatic,52.4,57.8,,Carburettor,,Air,,85.0,1230.0,,Single disc,Expanding brake (drum brake),3.5-10 ,3.5-10 ,Hydraulic Shock Absorber,Hydraulic Shock Absorber,Green
adly,cat 50,2007,Scooter,3.2,49.3,5.0,,Single cylinder, two-stroke,Automatic,40.0,39.2,,,,Air,,75.0,1210.0,,,,130/60-13 ,130/60-13 ,Hydraulic shock absorber,Hydraulic shock absorber,
adly,cat 50,2008,Scooter,3.2,49.3,5.0,,Single cylinder, two-stroke,Automatic,40.0,39.2,,,,Air,,75.0,1210.0,,Double disc,Expanding brake (drum brake),130/60-13 ,130/60-13 ,Hydraulic Shock Absorber,Hydraulic Shock Absorber,
adly,cat 50,2009,Scooter,,49.3,5.0,,Single cylinder, two-stroke,Automatic,40.0,39.2,,Carburettor,Single Overhead Cams (SOHC),Air,,75.0,1210.0,,Double disc,Expanding brake (drum brake),130/60-13 ,130/60-13 ,Hydraulic Shock Absorber,Hydraulic Shock Absorber,Blue
adly,e-bike 2nd generation,2009,Scooter,,,,,Electric,Electric,Automatic,,,,,,Air,Belt,54.0,890.0,,Expanding brake (drum brake),Expanding brake (drum brake),90/90-6 ,90/90-6 ,Dual spring,Oil damped single shock,Red
adly,e-bike fun cruiser,2009,Scooter,,,,,Electric,Electric,Automatic,,,,,,Air,Belt,46.9,910.0,650.0,Expanding brake (drum brake),Expanding brake (drum brake),90/90-6 ,90/90-6 ,Dual spring,Oil damped single shock,Red
adly,fc-25 e-bike fun cruiser,2010,Scooter,,,,,Electric,Electric,Automatic,,,,,,Air,Belt,46.9,910.0,650.0,Expanding brake (drum brake),Expanding brake (drum brake),90/90-6 ,90/90-6 ,Dual spring,Oil damped single shock,
adly,fc-25 ii 2nd gen e-bike,2010,Scooter,,,,,Electric,Electric,Automatic,,,,,,Air,,52.0,890.0,,Expanding brake (drum brake),Expanding brake (drum brake),90/90-6 ,90/90-6 ,Dual spring,Oil damped single shock,Red
adly,fox 50 (2t),2007,Scooter,3.7,49.3,3.7,,Single cylinder, two-stroke,,,,6.2,,,Air,,75.0,1220.0,762.0,Single disc,Expanding brake (drum brake),120/90-10 ,130/90-10 ,,,"Pink, Blue, Gray, Red"
adly,fox 50 (4t),2007,Scooter,3.2,49.3,3.7,,Single cylinder, four-stroke,,,,6.2,,,Air,,75.0,1220.0,762.0,Single disc,Expanding brake (drum brake),100/90-10 ,100/90-10 ,,,"Pink, Blue, Gray, Red"
adly,fun cruiser (i),2007,Scooter,,,,,Electric,Electric,Automatic,,,,,,Oil & air,,,910.0,650.0,Expanding brake (drum brake),Expanding brake (drum brake),90/90-6 ,90/90-6 ,Dual spring,Oil damped single shock,"Blue, Red, Gray, While, Yellow"
adly,fun cruiser (ii),2007,Scooter,,,,,Electric,Electric,Automatic,,,,,,Oil & air,,,890.0,650.0,Expanding brake (drum brake),Expanding brake (drum brake),90/90-6 ,90/90-6 ,Dual spring,Oil damped single shock,"Blue, Red, Gray, While, Yellow"
adly,gta-125,2018,Scooter,,125.0,,,Single cylinder, four-stroke,Automatic,,,6.0,Carburettor,,Air,Belt,98.0,,780.0,Single disc,Single disc,120/70-12 ,120/70-12 ,Grease Shock Absorber,Hydraulic Shock Absorber,"White, black"
